"ENTREZID","ENSEMBL","SYMBOL"
"22032","ENSMUSG00000017386","Traf4"
"68385","ENSMUSG00000019437","Tlcd1"
"19376","ENSMUSG00000002059","Rab34"
"52466","ENSMUSG00000020829","Slc46a1"
"195040","ENSMUSG00000051232","Tmem199"
"55978","ENSMUSG00000001105","Ift20"
"69109","ENSMUSG00000049489","Ccnq"
"68550","ENSMUSG00000046909","Tefm"
"12569","ENSMUSG00000048895","Cdk5r1"
"16882","ENSMUSG00000020697","Lig3"
"19364","ENSMUSG00000018841","Rad51d"
"217011","ENSMUSG00000020692","Nle1"
"237890","ENSMUSG00000082101","Slfn14"
"237890","ENSMUSG00000116067","Slfn14"
"237890","ENSMUSG00000116327","Slfn14"
"237890","ENSMUSG00000116344","Slfn14"
"613254","ENSMUSG00000093483","AA465934"
"103737","ENSMUSG00000018733","Pex12"
"103737","ENSMUSG00000116064","Pex12"
"103737","ENSMUSG00000116268","Pex12"
"103737","ENSMUSG00000116062","Pex12"
"78394","ENSMUSG00000020677","Ddx52"
"448850","ENSMUSG00000020526","Znhit3"
"73634","ENSMUSG00000018479","1700125H20Rik"
"654810","ENSMUSG00000085628","Appbp2os"
"74038","ENSMUSG00000085208","Brip1os"
"217057","ENSMUSG00000072582","Ptrh2"
"74133","ENSMUSG00000020495","Smg8"
"387160","ENSMUSG00000105196","Mir142"
"102466883","ENSMUSG00000065420","Mir142b"
"380718","ENSMUSG00000034121","Mks1"
"22344","ENSMUSG00000018377","Vezf1"
"22344","ENSMUSG00000098546","Vezf1"
"64656","ENSMUSG00000023723","Mrps23"
"64656","ENSMUSG00000098375","Mrps23"
"18103","ENSMUSG00000020857","Nme2"
"18102","ENSMUSG00000037601","Nme1"
"104601","ENSMUSG00000039110","Mycbpap"
"98238","ENSMUSG00000020869","Lrrc59"
"268465","ENSMUSG00000039055","Eme1"
"18604","ENSMUSG00000038967","Pdk2"
"16400","ENSMUSG00000001507","Itga3"
"102640811","ENSMUSG00000085143","Gm11520"
"215512","ENSMUSG00000038893","Fam117a"
"110172","ENSMUSG00000020873","Slc35b1"
"27681","ENSMUSG00000006058","Snf8"
"217138","ENSMUSG00000047040","Prr15l"
"78912","ENSMUSG00000018678","Sp2"
"58996","ENSMUSG00000049807","Arhgap23"
"100141474","ENSMUSG00000047988","4933428G20Rik"
"26446","ENSMUSG00000069744","Psmb3"
"100302498","ENSMUSG00000064901","Snora21"
"19921","ENSMUSG00000017404","Rpl19"
"217154","ENSMUSG00000017400","Stac2"
"23989","ENSMUSG00000017210","Med24"
"74407","ENSMUSG00000006784","Ttc25"
"56354","ENSMUSG00000014195","Dnajc7"
"71966","ENSMUSG00000017837","Nkiras2"
"20851","ENSMUSG00000020919","Stat5b"
"20850","ENSMUSG00000004043","Stat5a"
"11975","ENSMUSG00000019302","Atp6v0a1"
"27419","ENSMUSG00000001751","Naglu"
"71743","ENSMUSG00000001755","Coasy"
"67998","ENSMUSG00000017802","Retreg3"
"28084","ENSMUSG00000078656","Vps25"
"52469","ENSMUSG00000017188","Coa3"
"69684","ENSMUSG00000075528","Aarsd1"
"73635","ENSMUSG00000097487","Ptges3l"
"19942","ENSMUSG00000063316","Rpl27"
"74499","ENSMUSG00000001494","Sost"
"72349","ENSMUSG00000003518","Dusp3"
"15184","ENSMUSG00000008855","Hdac5"
"217218","ENSMUSG00000059995","Atxn7l3"
