"ENTREZID","ENSEMBL","SYMBOL"
"667931","ENSMUSG00000099707","Gm8883"
"71134","ENSMUSG00000101848","4933417E11Rik"
"111175","ENSMUSG00000026189","Pecr"
"271711","ENSMUSG00000026188","Tmem169"
"22596","ENSMUSG00000026187","Xrcc5"
"54380","ENSMUSG00000039354","Smarcal1"
"19981","ENSMUSG00000046330","Rpl37a"
"69449","ENSMUSG00000101968","1700027A15Rik"
"78718","ENSMUSG00000101812","D530049I02Rik"
"109198","ENSMUSG00000100301","6030407O03Rik"
"102465179","ENSMUSG00000098504","Mir6351"
"12765","ENSMUSG00000026180","Cxcr2"
"227288","ENSMUSG00000048480","Cxcr1"
"100316687","ENSMUSG00000087820","Mir1928"
"56695","ENSMUSG00000026179","Pnkd"
"241112","ENSMUSG00000073650","Catip"
"319651","ENSMUSG00000033364","Usp37"
"18802","ENSMUSG00000026173","Plcd4"
"269209","ENSMUSG00000033276","Stk36"
"67534","ENSMUSG00000033257","Ttll4"
"104086","ENSMUSG00000026170","Cyp27a1"
"241113","ENSMUSG00000006542","Prkag3"
"102634844","ENSMUSG00000089964","Gm16582"
"241116","ENSMUSG00000047021","Cfap65"
"75570","ENSMUSG00000026162","Nhej1"
"22626","ENSMUSG00000026205","Slc23a3"
"227298","ENSMUSG00000049339","Retreg2"
"68818","ENSMUSG00000026197","Zfand2b"
"13437","ENSMUSG00000026209","Dnpep"
"69080","ENSMUSG00000033021","Gmppa"
"74241","ENSMUSG00000032997","Chpf"
"16322","ENSMUSG00000032968","Inha"
"20536","ENSMUSG00000006576","Slc4a3"
"620079","ENSMUSG00000100553","Gm17751"
"102465180","ENSMUSG00000099141","Mir6352"
"23874","ENSMUSG00000026245","Farsb"
"74205","ENSMUSG00000032883","Acsl3"
"57814","ENSMUSG00000047330","Kcne4"
"102636764","ENSMUSG00000099706","Gm29536"
"20254","ENSMUSG00000050711","Scg2"
"69368","ENSMUSG00000073643","Wdfy1"
"241128","ENSMUSG00000043230","Fam124b"
"241134","ENSMUSG00000054976","Nyap2"
"102466629","ENSMUSG00000098797","Mir6344"
"16367","ENSMUSG00000055980","Irs1"
"12829","ENSMUSG00000067158","Col4a4"
"12828","ENSMUSG00000079465","Col4a3"
"75734","ENSMUSG00000026150","Mff"
"66261","ENSMUSG00000026149","Tm4sf20"
"15463","ENSMUSG00000026159","Agfg1"
"20297","ENSMUSG00000026166","Ccl20"
"71227","ENSMUSG00000053161","Daw1"
"102465181","ENSMUSG00000098851","Mir6353"
"227325","ENSMUSG00000036766","Dner"
"14897","ENSMUSG00000026219","Trip12"
"66153","ENSMUSG00000073633","Fbxo36"
"71781","ENSMUSG00000026220","Slc16a14"
"381287","ENSMUSG00000089844","A530032D15Rik"
"665378","ENSMUSG00000079457","Gm7609"
"620078","ENSMUSG00000052477","C130026I21Rik"
"109032","ENSMUSG00000070034","Sp110"
"434484","ENSMUSG00000070031","Sp140"
"20684","ENSMUSG00000026222","Sp100"
"319997","ENSMUSG00000052760","A630001G21Rik"
"102466882","ENSMUSG00000098634","Mir8096"
"64294","ENSMUSG00000026223","Itm2c"
"71141","ENSMUSG00000026224","4933407L21Rik"
"70247","ENSMUSG00000026229","Psmd1"
"78795","ENSMUSG00000062590","Armc9"
"17975","ENSMUSG00000026234","Ncl"
"19231","ENSMUSG00000026238","Ptma"
"18159","ENSMUSG00000026241","Nppc"
"208718","ENSMUSG00000053333","Dis3l2"
"11650","ENSMUSG00000026246","Alppl2"
"76768","ENSMUSG00000079440","Alpi"
"11447","ENSMUSG00000026251","Chrnd"
"227331","ENSMUSG00000048000","Gigyf2"
"73234","ENSMUSG00000026258","Snorc"
"53972","ENSMUSG00000026259","Ngef"
"16331","ENSMUSG00000026288","Inpp5d"
"20215","ENSMUSG00000056055","Sag"
"227333","ENSMUSG00000070738","Dgkd"
"227334","ENSMUSG00000005501","Usp40"
"394430","ENSMUSG00000090165","Ugt1a10"
"394434","ENSMUSG00000090175","Ugt1a9"
"22236","ENSMUSG00000090171","Ugt1a2"
"394433","ENSMUSG00000089943","Ugt1a5"
