"ENTREZID","ENSEMBL","SYMBOL"
"103737","ENSMUSG00000116062","Pex12"
"276952","ENSMUSG00000020684","Rasl10b"
"118453","ENSMUSG00000020682","Mmp28"
"629303","ENSMUSG00000018925","Heatr9"
"628813","ENSMUSG00000051452","Gm11437"
"71489","ENSMUSG00000086199","Bcas3os1"
"100628627","ENSMUSG00000093278","Mir5110"
"114714","ENSMUSG00000007646","Rad51c"
"102466883","ENSMUSG00000065420","Mir142b"
"258408","ENSMUSG00000093920","Olfr463"
"18103","ENSMUSG00000020857","Nme2"
"387191","ENSMUSG00000065546","Mir196a-1"
"15413","ENSMUSG00000038700","Hoxb5"
"80280","ENSMUSG00000018669","Cdk5rap3"
"107732","ENSMUSG00000001445","Mrpl10"
"100037262","ENSMUSG00000075576","Gm12359"
"406221","ENSMUSG00000059169","Krt40"
"629873","ENSMUSG00000075567","Krtap1-4"
"665891","ENSMUSG00000063251","Krtap4-1"
"670496","ENSMUSG00000078258","Gm11564"
"77914","ENSMUSG00000078252","Krtap17-1"
"16673","ENSMUSG00000020916","Krt36"
"14534","ENSMUSG00000020918","Kat2a"
"15485","ENSMUSG00000019301","Hsd17b1"
"12777","ENSMUSG00000044052","Ccr10"
"53321","ENSMUSG00000017167","Cntnap1"
"217201","ENSMUSG00000035007","Rundc1"
"102465892","ENSMUSG00000098863","Mir8101"
"217217","ENSMUSG00000034768","Asb16"
"14580","ENSMUSG00000020932","Gfap"
"14599","ENSMUSG00000020713","Gh"
"15985","ENSMUSG00000040592","Cd79b"
"110880","ENSMUSG00000001027","Scn4a"
"380732","ENSMUSG00000040528","Milr1"
"102465562","ENSMUSG00000098497","Mir6932"
"72014","ENSMUSG00000000202","Btbd17"
"217302","ENSMUSG00000034677","Gpr142"
"387565","ENSMUSG00000058728","Cd300c"
"140497","ENSMUSG00000044811","Cd300c2"
"320534","ENSMUSG00000045980","Tmem104"
"16470","ENSMUSG00000045288","Ush1g"
"70382","ENSMUSG00000016940","Kctd2"
"100628623","ENSMUSG00000093096","Mir3968"
"66528","ENSMUSG00000048442","Smim5"
"69681","ENSMUSG00000092300","Cdk3"
"100216536","ENSMUSG00000065640","Snord1c"
"667423","ENSMUSG00000083705","Gm8624"
"56745","ENSMUSG00000017446","C1qtnf1"
"100126224","ENSMUSG00000086514","Gm11747"
"14387","ENSMUSG00000025579","Gaa"
"170720","ENSMUSG00000013483","Card14"
"68701","ENSMUSG00000025129","Ppp1r27"
"170758","ENSMUSG00000018012","Rac3"
"12409","ENSMUSG00000025150","Cbr2"
"238057","ENSMUSG00000037660","Gdf7"
"56184","ENSMUSG00000047002","Msgn1"
"74712","ENSMUSG00000097841","4930511A02Rik"
"71693","ENSMUSG00000036655","Colec11"
"432649","ENSMUSG00000059301","Gm5434"
"109065","ENSMUSG00000020973","Dnaaf2"
"399510","ENSMUSG00000034761","Map4k5"
"30056","ENSMUSG00000021079","Timm9"
"67217","ENSMUSG00000019718","L3hypdh"
"109929","ENSMUSG00000056459","Zbtb25"
"321017","ENSMUSG00000112489","9230116L04Rik"
"102466769","ENSMUSG00000098263","Mir6938"
"625237","ENSMUSG00000113918","Gm6566"
"100526546","ENSMUSG00000105428","Mir3068"
"68348","ENSMUSG00000021081","Serpina1f"
"20700","ENSMUSG00000066366","Serpina1a"
"71907","ENSMUSG00000058260","Serpina9"
