"Id","Label","Degree","Betweenness","Expression"
"ENSMUSP00000060613","Wdr3",16,355.08,0
"ENSMUSP00000027601","Mcm6",16,229.33,0
"ENSMUSP00000037631","Mrps6",16,2.2,0
"ENSMUSP00000099407","Kat2a",15,15836.14,0
"ENSMUSP00000099805","Orc1",15,2388.86,0
"ENSMUSP00000000028","Cdc45",15,1349.74,0
"ENSMUSP00000026322","Polr3a",15,1033.76,0
"ENSMUSP00000043204","Polr2l",15,415.94,0
"ENSMUSP00000052465","Wdr36",15,176.78,0
"ENSMUSP00000023117","Phf5a",15,36.35,0
"ENSMUSP00000055619","Mrps16",15,1.83,0
"ENSMUSP00000033769","Irak1",14,13578.75,0
"ENSMUSP00000023467","Pak2",14,9562.31,0
"ENSMUSP00000037712","Lpar3",14,5911.51,0
"ENSMUSP00000098895","Taf1",14,5363.13,0
"ENSMUSP00000034392","Nip7",14,1094.82,0
"ENSMUSP00000029082","Psma7",14,481.53,0
"ENSMUSP00000066842","Mcm8",14,163.49,0
"ENSMUSP00000113431","Rsl1d1",14,64.43,0
"ENSMUSP00000048153","Rbmxl1",14,47.99,0
"ENSMUSP00000072008","Pdcd11",14,39.57,0
"ENSMUSP00000025393","Smad4",13,10919.65,0
"ENSMUSP00000022030","Ccnh",13,10527.93,0
"ENSMUSP00000005815","Kit",13,9152.37,0
"ENSMUSP00000009699","Cdk9",13,7762.22,0
"ENSMUSP00000013931","Ehmt2",13,7694.59,0
"ENSMUSP00000040741","Shfm1",13,5962.1,0
"ENSMUSP00000018470","Ywhab",13,5794.23,0
"ENSMUSP00000032399","Kras",13,5112.88,0
"ENSMUSP00000031640","Cdk8",13,3707.42,0
"ENSMUSP00000033720","Rbbp7",13,3205.61,0
"ENSMUSP00000074259","Gnai1",13,3102.02,0
"ENSMUSP00000057543","Gnai2",13,3102.02,0
"ENSMUSP00000000001","Gnai3",13,3102.02,0
"ENSMUSP00000021359","Pole2",13,1312.27,0
"ENSMUSP00000127774","Eif4b",13,904.08,0
"ENSMUSP00000058355","Polr1d",13,258.87,0
"ENSMUSP00000043315","Wdr74",13,223.57,0
"ENSMUSP00000024956","Rhoq",13,166.49,0
"ENSMUSP00000120911","Tbl3",13,74.73,0
"ENSMUSP00000023113","Polr3h",13,59.27,0
"ENSMUSP00000022909","Dcaf13",13,19,0
"ENSMUSP00000101616","Snrnp40",13,11.05,0
"ENSMUSP00000052648","Ar",12,9166.57,0
"ENSMUSP00000021674","Fos",12,8474.17,0
"ENSMUSP00000032168","Sec61a1",12,6536.87,0
"ENSMUSP00000047678","Eif4g1",12,4377.41,0
"ENSMUSP00000029013","Rae1",12,4195.73,0
"ENSMUSP00000068148","Cpsf3",12,2441.98,0
"ENSMUSP00000020904","Rock2",12,2172.48,0
"ENSMUSP00000028599","Cstf3",12,1697.89,0
"ENSMUSP00000088365","Ssb",12,1411.66,0
"ENSMUSP00000035930","Nol10",12,1161.68,0
"ENSMUSP00000091487","Supt4a",12,441.56,0
"ENSMUSP00000021048","Ftsj3",12,115.11,0
"ENSMUSP00000025963","Noc3l",12,83.51,0
"ENSMUSP00000022808","Pabpn1",12,77.84,0
"ENSMUSP00000099436","Psmb3",12,68.32,0
"ENSMUSP00000004379","Emg1",12,57.02,0
"ENSMUSP00000101858","Fus",12,29.49,0
"ENSMUSP00000005406","App",11,21808.61,0
"ENSMUSP00000017920","Crk",11,19939.07,0
"ENSMUSP00000087457","Itgb1",11,17489.55,0
"ENSMUSP00000031540","Oasl1",11,14797.4,0
"ENSMUSP00000119715","Rps6kb1",11,9245.1,0
"ENSMUSP00000085549","Tbl1x",11,7018.71,0
"ENSMUSP00000109585","Wdr5",11,5055.97,0
"ENSMUSP00000069114","Ackr3",11,4737.42,0
"ENSMUSP00000120014","Nhp2",11,1654.24,0
"ENSMUSP00000022927","Rad21",11,1258.09,0
"ENSMUSP00000025930","Smc3",11,867.7,0
"ENSMUSP00000117616","Tpr",11,498.8,0
"ENSMUSP00000033173","Polr3e",11,238.35,0
"ENSMUSP00000134735","Psme1",11,140.74,0
"ENSMUSP00000090059","Srsf2",11,102.75,0
"ENSMUSP00000000793","Polr3d",11,45.06,0
"ENSMUSP00000013807","Pten",10,9982.93,0
"ENSMUSP00000099475","Cltc",10,5978.84,0
"ENSMUSP00000007799","Cav1",10,5906.47,0
"ENSMUSP00000079905","Arf1",10,5748.86,0
"ENSMUSP00000023036","Rbx1",10,5344.65,0
"ENSMUSP00000091882","Cdc25a",10,4336.7,0
"ENSMUSP00000018274","Csnk1d",10,4177.47,0
"ENSMUSP00000044361","Smarca5",10,3430.91,0
"ENSMUSP00000094778","Tuba1a",10,2457.8,0
"ENSMUSP00000067681","Sec61b",10,1593.18,0
"ENSMUSP00000069549","Rock1",10,1561.62,0
"ENSMUSP00000005164","Prkacb",10,1261.5,0
"ENSMUSP00000042364","Myl12b",10,1083.6,0
"ENSMUSP00000085913","Myl9",10,1083.6,0
"ENSMUSP00000034204","Nudt21",10,924.84,0
