"Gene"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000026176"	43.3697475263694	-4.91919847134396	1.25823782323774	-3.90959354463348	9.24515491350919e-05	0.00787313467877225
"ENSMUSG00000047330"	89.8022157921486	-3.74021602243357	0.917669454334807	-4.07577696387938	4.58609603021445e-05	0.0058906760463689
"ENSMUSG00000104488"	13.2345515482298	-5.48530073658018	1.42994913670345	-3.8360110830416	0.000125048767035526	0.00909668816607851
"ENSMUSG00000102721"	14.8154106682448	-7.13180562000587	1.67593071222586	-4.25542987426602	2.08647753130932e-05	0.00460400431642618
"ENSMUSG00000036206"	49.634433915615	-5.54705980987703	1.29254695266146	-4.29157315984165	1.7741173074818e-05	0.00436355045477914
"ENSMUSG00000026305"	84.8313807674351	-4.8535676537915	1.24032373663861	-3.91314582670578	9.11014807192338e-05	0.00782597519050244
"ENSMUSG00000034353"	94.3602119047615	-3.9664488564217	1.01498740360239	-3.90787988337982	9.31095733743076e-05	0.00788730914755955
"ENSMUSG00000100009"	37.5711292789411	-7.74829385551613	1.50267708371797	-5.15632662497591	2.51841445600481e-07	0.000658455846645819
"ENSMUSG00000057329"	44.6241107916821	-5.06228669027746	1.21859890734797	-4.15418613930526	3.26447358568686e-05	0.00508514304828188
"ENSMUSG00000009905"	90.5788187904663	-4.35406560004692	1.06816008619572	-4.07622944942086	4.57718550036706e-05	0.0058906760463689
"ENSMUSG00000102856"	24.0524535809454	-5.11822609407139	1.29205616052683	-3.96130311548102	7.45418324872496e-05	0.00727566696356639
"ENSMUSG00000026456"	86.3996741790578	-3.96916318015273	1.04699552154846	-3.79100301621399	0.000150040131890982	0.00947516950020549
"ENSMUSG00000026395"	196.019594588423	-3.35523671048163	0.89199971493498	-3.76147733491844	0.000168912729606451	0.00999649126746248
"ENSMUSG00000104291"	31.646156870038	-6.75851717358865	1.64841749309429	-4.10000330735513	4.13144233890975e-05	0.00567372106619665
"ENSMUSG00000026358"	122.350095802947	-7.1279848928982	1.3394289909346	-5.32165940945072	1.02824950778131e-07	0.000576621758973606
"ENSMUSG00000026480"	19.5764712968093	-6.05971190270809	1.50488953288468	-4.02668220510006	5.65694068046713e-05	0.00636709431120143
"ENSMUSG00000079138"	97.0111974664295	-3.27828198433602	0.856211013759205	-3.82882482431835	0.000128756610325681	0.00911636626651236
"ENSMUSG00000026471"	45.087694062451	-3.87794601893362	1.02131398010758	-3.797016485102	0.000146448053829257	0.00945567379722387
"ENSMUSG00000038370"	151.082916941486	-7.27957089448777	1.34992636223126	-5.39256888239113	6.94574597980413e-08	0.000576621758973606
"ENSMUSG00000006403"	46.0173757022172	-4.90769000870876	1.16421536563505	-4.21544857899358	2.49282189135895e-05	0.00467544597970478
"ENSMUSG00000038235"	156.539688671572	-4.52799710615073	1.05327867651703	-4.29895449998463	1.71605694197716e-05	0.00426032277820942
"ENSMUSG00000026547"	128.13381695952	-3.50884234540669	0.871069274608883	-4.02820125527007	5.62052216244809e-05	0.00636709431120143
"ENSMUSG00000037849"	27.6255113956735	-5.28182739184883	1.29817078992873	-4.06866910950816	4.72824379406488e-05	0.00597185710548582
"ENSMUSG00000073489"	158.402423040609	-4.10399187884356	1.08586106175889	-3.77948157768534	0.000157155219455015	0.00964816905044279
"ENSMUSG00000039239"	48.7429273591953	-5.62478148125197	1.39220193247177	-4.0402051958551	5.34044561085921e-05	0.00626530353484859
"ENSMUSG00000026768"	55.2382615338849	-2.83743348947215	0.695174072637069	-4.08161581560234	4.4723681751874e-05	0.00585984725533082
"ENSMUSG00000102691"	16.9645097496104	-6.5954626519506	1.63583456289799	-4.03186410260602	5.53361836404643e-05	0.00636709431120143
"ENSMUSG00000026728"	1175.40418619094	-5.25262659433484	1.30160298146685	-4.03550596389643	5.44847555338682e-05	0.00633899610130345
"ENSMUSG00000026712"	92.017659529022	-4.06272970795824	0.920979694627712	-4.41131300902406	1.02745662866744e-05	0.00351327517209834
"ENSMUSG00000026737"	54.4435427021298	-4.3456668508449	1.06934223861577	-4.06386907195421	4.82659065314353e-05	0.00597421984673501
"ENSMUSG00000026981"	66.1115448791361	-6.06222626954925	1.34472226481913	-4.50816233816477	6.53915356801299e-06	0.00292143009434859
"ENSMUSG00000059555"	7.65309709965236	-6.18136107855261	1.615671460148	-3.82587749491248	0.000130307083086028	0.00911636626651236
"ENSMUSG00000026923"	10.0038708782781	-5.82727095876376	1.54271776995874	-3.77727609821959	0.00015855293370749	0.00968554620528173
